,Hour,GHI,T-Td,Td,TARGET,DHI,DNI,WS,RH,T
295,3,0,3.0372528030540176,1.7627471969459825,0.0,0,0,1.5,80.71,4.8
296,4,0,2.950767158799964,1.8492328412000358,0.0,0,0,1.5,81.21,4.8
297,4,0,3.0501069041816486,1.8498930958183517,0.0,0,0,1.6,80.65,4.9
298,5,1,2.9872924389663487,2.112707561033651,0.09384261699999999,1,0,1.7,81.04,5.1
299,5,6,3.468766655585359,2.1312333444146407,0.563052611,6,0,2.1,78.38,5.6
300,6,8,3.682815362815538,2.5171846371844624,0.750731864,8,0,2.4,77.29,6.2
301,6,12,3.9810218698430275,2.5189781301569725,1.126094083,12,0,2.8,75.72,6.5
302,7,18,4.350332761930527,2.549667238069473,1.689133698,18,0,3.2,73.83,6.9
303,7,25,4.650219821030904,2.549780178969096,2.34601129,25,0,3.7,72.33,7.2
304,8,38,5.689223640843591,1.7107763591564096,3.5659293219999997,38,0,4.2,67.21,7.4
305,8,89,5.989087418070897,1.7109125819291031,8.351754296000001,89,0,4.5,65.85,7.7
306,9,90,7.1286912635424144,0.8713087364575853,8.445566385,89,1,4.9,60.75,8.0
307,9,189,7.31035420570888,0.8896457942911189,17.54797158,179,10,4.9,60.01,8.2
308,10,254,8.169236318402818,0.33076368159718206,23.55361681,237,17,5.0,56.48,8.5
309,10,227,8.369596848547024,0.3304031514529746,21.11375352,213,14,5.0,55.72,8.7
310,11,275,8.85991014750796,0.04008985249203922,25.61796463,257,18,4.9,53.83,8.9
311,11,190,8.85991014750796,0.04008985249203922,17.73551397,177,13,4.9,53.83,8.9
312,12,149,9.09949363068489,-0.09949363068489044,13.88811208,141,8,4.8,52.93,9.0
313,12,108,8.998990695961465,-0.09899069596146545,10.13457941,105,3,4.8,53.29,8.9
314,13,210,9.072324572785242,-0.2723245727852413,19.61230949,198,12,4.7,52.98,8.8
315,13,257,8.771071878780866,-0.271071878780865,23.92897326,241,16,4.6,54.07,8.5
316,14,174,8.770093298346136,-0.4700932983461356,16.14036254,164,10,4.6,54.02,8.3
317,14,172,8.2714610428798,-0.4714610428797996,15.85893174,161,11,4.5,55.88,7.8
318,15,341,8.03461508739089,-0.73461508739089,30.591953600000004,289,52,4.5,56.72,7.3
319,15,249,7.3175863466941475,-0.7175863466941479,21.95881048,209,40,4.5,59.58,6.6
320,16,89,6.692213074122195,-0.8922130741221954,8.351928702,89,0,4.4,62.16,5.8
321,16,81,6.692213074122195,-0.8922130741221954,7.6011935379999995,81,0,4.4,62.16,5.8
322,17,100,5.375365172139721,-0.9753651721397203,9.290490606,99,1,4.1,68.1,4.4
323,17,76,4.674593160516935,-0.9745931605169342,7.0383046060000005,75,1,4.0,71.53,3.7
324,18,42,4.080504735235379,-1.080504735235379,3.941480902,42,0,3.9,74.57,3.0
325,18,19,3.5627202270366234,-1.0627202270366234,1.783060682,19,0,3.9,77.36,2.5
326,19,2,3.3367228649060445,-1.3367228649060447,0.18769163,2,0,3.8,78.57,2.0
327,19,0,2.937859994954764,-1.3378599949547638,0.0,0,0,3.8,80.84,1.6
328,20,0,3.072017520834996,-1.8720175208349958,0.0,0,0,3.8,79.99,1.2
329,20,0,2.6544217112159263,-1.8544217112159265,0.0,0,0,3.8,82.43,0.8
330,21,0,3.0073336119792,-2.5073336119792,0.0,0,0,3.8,80.27,0.5
331,21,0,2.606543641112575,-2.5065436411125748,0.0,0,0,3.7,82.63,0.1
332,22,0,3.072437845321293,-3.272437845321293,0.0,0,0,3.7,79.78,-0.2
333,22,0,2.772226253325063,-3.272226253325063,0.0,0,0,3.5,81.54,-0.5
334,23,0,3.1944300553109826,-4.0944300553109825,0.0,0,0,3.4,78.95,-0.9
335,23,0,2.894530765217053,-4.094530765217053,0.0,0,0,3.2,80.7,-1.2
288,0,0,3.9405254848065163,-6.540525484806516,0.0,0,0,1.7,74.33,-2.6
289,0,0,3.9405254848065163,-6.540525484806516,0.0,0,0,1.5,74.33,-2.6
290,1,0,3.9493169928465215,-6.549316992846522,0.0,0,0,1.3,74.28,-2.6
291,1,0,3.9493169928465215,-6.549316992846522,0.0,0,0,1.2,74.28,-2.6
292,2,0,4.04262360982998,-6.54262360982998,0.0,0,0,1.0,73.77,-2.5
293,2,0,4.04262360982998,-6.54262360982998,0.0,0,0,0.9,73.77,-2.5
294,3,0,4.070792694891914,-6.470792694891913,0.0,0,0,0.7,73.63,-2.4
295,3,0,4.070792694891914,-6.470792694891913,0.0,0,0,0.7,73.63,-2.4
296,4,0,3.9664077120930847,-6.366407712093085,0.0,0,0,0.6,74.22,-2.4
297,4,0,3.9664077120930847,-6.366407712093085,0.0,0,0,0.5,74.22,-2.4
298,5,0,3.9414730857343248,-6.241473085734325,0.0,0,0,0.4,74.38,-2.3
299,5,0,3.9414730857343248,-6.241473085734325,0.0,0,0,0.4,74.38,-2.3
300,6,0,4.0029971260233275,-6.202997126023328,0.0,0,0,0.3,74.05,-2.2
301,6,0,4.102233683207954,-6.202233683207955,0.0,0,0,0.5,73.51,-2.1
302,7,12,4.186105420880157,-6.186105420880157,0.5630996420000001,6,6,0.7,73.06,-2.0
303,7,70,4.6866172097001035,-6.1866172097001035,3.472428709,33,37,1.1,70.42,-1.5
304,8,118,4.692771388454071,-5.692771388454071,7.038668166,66,52,1.5,70.49,-1.0
305,8,246,5.29344967402553,-5.693449674025531,12.57567087,96,150,2.0,67.47,-0.4
306,9,215,5.689041394282218,-5.389041394282218,13.70174494,114,101,2.4,65.63,0.3
307,9,522,6.487676919437392,-5.387676919437392,26.55862827,138,384,2.7,61.96,1.1
308,10,361,6.945714471956284,-5.145714471956285,23.27381321,165,196,2.9,60.02,1.8
309,10,237,7.643756295501563,-5.143756295501563,18.76905981,169,68,2.9,57.11,2.5
310,11,247,7.940988907343723,-4.840988907343723,21.02120837,202,45,2.9,56.0,3.1
311,11,496,8.44096554681789,-4.840965546817891,32.5639251,198,298,2.9,54.06,3.6
312,12,763,8.72838064206488,-4.72838064206488,42.69890716,146,617,2.9,53.01,4.0
313,12,803,9.027723408849589,-4.72772340884959,42.79260982,123,680,2.8,51.91,4.3
314,13,791,9.250384680140932,-4.650384680140933,40.4463904,117,674,2.8,51.13,4.6
315,13,892,9.348935843836646,-4.648935843836647,40.44634595,82,810,2.8,50.78,4.7
316,14,899,9.343708198725285,-4.643708198725284,37.06799686,81,818,2.7,50.8,4.7
317,14,887,9.045123327556741,-4.64512332755674,31.62520539,69,818,2.4,51.87,4.4
318,15,820,8.526402406936892,-4.426402406936893,24.21166141,59,761,2.1,53.85,4.1
319,15,574,6.927432027943282,-4.427432027943282,14.35833076,56,518,1.5,60.28,2.5
320,16,461,6.13673616738736,-5.23673616738736,7.320062042000001,33,428,0.9,63.58,0.9
321,16,183,6.13673616738736,-5.23673616738736,1.689245087,14,169,0.9,63.58,0.9
322,17,0,5.170115491620731,-6.870115491620731,0.0,0,0,1.1,67.82,-1.7
323,17,0,4.769533773857095,-6.869533773857095,0.0,0,0,1.5,69.85,-2.1
324,18,0,4.835909146178817,-7.335909146178817,0.0,0,0,1.9,69.41,-2.5
325,18,0,5.237680627885336,-7.3376806278853355,0.0,0,0,2.5,67.38,-2.1
326,19,0,5.616169976614085,-7.416169976614085,0.0,0,0,3.1,65.51,-1.8
327,19,0,5.814977098109365,-7.4149770981093654,0.0,0,0,3.3,64.56,-1.6
328,20,0,6.106893548594993,-7.506893548594992,0.0,0,0,3.5,63.17,-1.4
329,20,0,6.206633944763991,-7.5066339447639905,0.0,0,0,3.6,62.71,-1.3
330,21,0,6.44835466185611,-7.548354661856109,0.0,0,0,3.7,61.6,-1.1
331,21,0,6.44835466185611,-7.548354661856109,0.0,0,0,3.6,61.6,-1.1
332,22,0,6.561350180063509,-7.561350180063509,0.0,0,0,3.6,61.09,-1.0
333,22,0,6.446251816405882,-7.546251816405881,0.0,0,0,3.6,61.61,-1.1
334,23,0,6.556004762324308,-7.656004762324309,0.0,0,0,3.5,61.09,-1.1
335,23,0,6.455711221424896,-7.655711221424896,0.0,0,0,3.4,61.54,-1.2
288,0,0,8.62159270005816,-6.021592700058161,0.0,0,0,2.0,53.05,2.6
289,0,0,8.521071144030984,-6.021071144030984,0.0,0,0,2.1,53.43,2.5
290,1,0,8.647886047569386,-6.347886047569387,0.0,0,0,2.2,52.86,2.3
291,1,0,8.547258656333739,-6.347258656333738,0.0,0,0,2.2,53.24,2.2
292,2,0,8.773125789739149,-6.6731257897391485,0.0,0,0,2.2,52.3,2.1
293,2,0,8.674131940171979,-6.674131940171978,0.0,0,0,2.2,52.67,2.0
294,3,0,8.901783627813012,-7.001783627813013,0.0,0,0,2.1,51.73,1.9
295,3,0,8.801931136008886,-7.001931136008886,0.0,0,0,2.1,52.1,1.8
296,4,0,9.003529004797654,-7.303529004797654,0.0,0,0,2.0,51.27,1.7
297,4,0,8.903000515432938,-7.303000515432937,0.0,0,0,2.0,51.64,1.6
298,5,0,9.090566858716599,-7.5905668587166,0.0,0,0,2.0,50.87,1.5
299,5,0,9.189868958200622,-7.589868958200622,0.0,0,0,1.9,50.51,1.6
300,6,0,9.39616331732011,-7.696163317320109,0.0,0,0,1.9,49.74,1.7
301,6,385,11.412590559936186,-7.712590559936186,4.035294641,22,363,2.2,43.11,3.7
302,7,679,11.658083078485614,-5.958083078485614,12.38714382,33,646,2.4,42.9,5.7
303,7,822,13.858647418002713,-5.9586474180027125,21.86465701,42,780,2.4,36.89,7.9
304,8,909,15.775149020856682,-5.675149020856683,31.24787438,48,861,2.3,32.5,10.1
305,8,968,17.476380356143054,-5.676380356143053,40.16168271,53,915,1.7,29.03,11.8
306,9,1008,19.614409010095887,-6.114409010095888,48.23065232,56,952,1.0,25.12,13.5
307,9,1038,20.61101645726145,-6.111016457261448,55.36142431,59,979,1.0,23.55,14.5
308,10,1058,22.20901586673415,-6.80901586673415,61.1784603,60,998,1.0,21.07,15.4
309,10,1073,23.002492509457007,-6.802492509457008,65.68181846,60,1013,1.1,20.03,16.2
310,11,1081,24.316644692652808,-7.316644692652807,68.68381190000001,59,1022,1.2,18.3,17.0
311,11,1082,24.831919098131653,-7.331919098131652,70.09088184,60,1022,1.2,17.71,17.5
312,12,1081,25.53086467502766,-7.530864675027661,70.09049662,60,1021,1.1,16.9,18.0
313,12,1077,25.834621995175926,-7.534621995175924,68.68283044,60,1017,1.0,16.58,18.3
314,13,1066,25.990060883461002,-7.490060883461001,65.58632915,59,1007,0.9,16.43,18.5
315,13,1049,25.88472533935424,-7.484725339354243,60.98878513,57,992,0.8,16.54,18.4
316,14,1029,25.39588123682905,-7.095881236829051,55.26528297,54,975,0.7,17.15,18.3
317,14,1001,24.89373597427287,-7.093735974272873,48.41603182,52,949,0.7,17.7,17.8
318,15,958,23.490327674431214,-6.290327674431216,40.34695928,49,909,0.7,19.55,17.2
319,15,901,22.39281036305965,-6.2928103630596475,31.62113879,46,855,1.0,20.96,16.1
320,16,818,19.44401231101252,-4.344012311012522,22.42592059,42,776,1.2,25.9,15.1
321,16,685,19.44401231101252,-4.344012311012522,13.13652252,34,651,1.2,25.9,15.1
322,17,439,12.510372714006932,-2.4103727140069324,4.785710491000001,23,416,0.9,41.51,10.1
323,17,37,11.212362452498756,-2.4123624524987557,0.187677603,3,34,0.9,45.29,8.8
324,18,0,10.048663599349583,-2.548663599349583,0.0,0,0,0.9,48.97,7.5
325,18,0,9.549242650659782,-2.549242650659781,0.0,0,0,0.9,50.67,7.0
326,19,0,8.999969523292398,-2.499969523292398,0.0,0,0,0.9,52.63,6.5
327,19,0,8.283387169556386,-2.4833871695563863,0.0,0,0,1.1,55.3,5.8
328,20,0,7.480269669731254,-2.280269669731254,0.0,0,0,1.3,58.52,5.2
329,20,0,6.663984271200302,-2.263984271200302,0.0,0,0,1.9,61.95,4.4
330,21,0,5.295181896908561,-1.695181896908561,0.0,0,0,2.4,68.33,3.6
331,21,0,4.279041779659569,-1.679041779659569,0.0,0,0,3.1,73.42,2.6
332,22,0,3.2361516854983234,-1.6361516854983231,0.0,0,0,3.8,79.09,1.6
333,22,0,2.2200582148182977,-1.6200582148182978,0.0,0,0,4.0,85.08,0.6
334,23,0,2.8953034829288335,-3.2953034829288335,0.0,0,0,4.2,80.81,-0.4
335,23,0,1.8954633910613254,-3.2954633910613254,0.0,0,0,4.1,86.93,-1.4
288,0,0,17.01664844455825,-9.216648444558249,0.0,0,0,2.1,28.88,7.8
289,0,0,16.8192641608828,-9.2192641608828,0.0,0,0,2.1,29.27,7.6
290,1,0,17.285108768531376,-9.785108768531376,0.0,0,0,2.1,28.19,7.5
291,1,0,17.083982241589077,-9.783982241589076,0.0,0,0,2.1,28.58,7.3
292,2,0,17.38553758558923,-10.28553758558923,0.0,0,0,2.1,27.85,7.1
293,2,0,17.38553758558923,-10.28553758558923,0.0,0,0,2.1,27.85,7.1
294,3,0,17.586897562598335,-10.486897562598335,0.0,0,0,2.0,27.41,7.1
295,3,0,17.586897562598335,-10.486897562598335,0.0,0,0,2.0,27.41,7.1
296,4,0,17.660551882426198,-10.460551882426198,0.0,0,0,2.0,27.28,7.2
297,4,0,17.76251527816155,-10.46251527816155,0.0,0,0,1.9,27.09,7.3
298,5,0,17.72959849457284,-10.32959849457284,0.0,0,0,1.9,27.19,7.4
299,5,0,17.82731127567981,-10.32731127567981,0.0,0,0,1.8,27.01,7.5
300,6,0,17.72433593993265,-10.12433593993265,0.0,0,0,1.8,27.26,7.6
301,6,13,19.43839205678872,-10.138392056788721,1.219897714,13,0,1.9,24.27,9.3
302,7,45,19.722639929617653,-8.722639929617653,4.128807425,44,1,1.9,24.21,11.0
303,7,84,22.32282098553243,-8.72282098553243,7.412874212999999,77,7,2.4,20.41,13.6
304,8,161,25.987905758245162,-9.887905758245159,12.19806541,115,46,3.0,15.86,16.1
305,8,254,27.780514819216208,-9.880514819216211,18.85971259,166,88,3.0,14.16,17.9
306,9,322,31.59894273521247,-11.898942735212472,23.45688985,188,134,3.1,10.78,19.7
307,9,262,32.713808240669394,-11.913808240669395,22.14303628,207,55,3.0,10.06,20.8
308,10,354,34.867117685995225,-12.967117685995227,29.46114118,260,94,2.9,8.64,21.9
309,10,519,35.5817881975088,-12.9817881975088,40.06309072,279,240,2.9,8.27,22.6
310,11,490,36.624476894509264,-13.324476894509264,37.99865782,253,237,2.9,7.71,23.3
311,11,765,37.143010563075784,-13.343010563075785,54.8866485,245,520,2.9,7.47,23.8
312,12,726,37.838954823292724,-13.438954823292724,52.35307327,240,486,2.9,7.15,24.4
313,12,614,38.047634783861255,-13.447634783861258,46.06685029,270,344,2.9,7.06,24.6
314,13,762,38.26739439424708,-13.367394394247079,51.60220794,208,554,2.9,6.98,24.9
315,13,827,38.18805490353184,-13.388054903531843,51.13315317,157,670,2.8,7.01,24.8
316,14,642,37.88338405155589,-13.183384051555898,39.40540907,171,471,2.8,7.17,24.7
317,14,658,37.303632855797275,-13.203632855797272,36.40333229,150,508,2.6,7.42,24.1
318,15,424,34.98926428155346,-11.48926428155346,23.92502825,142,282,2.3,8.83,23.5
319,15,484,33.20063096981673,-11.500630969816728,20.73543476,96,388,1.6,9.84,21.7
320,16,561,22.893304698614152,-3.0933046986141504,16.70128722,60,501,0.9,21.14,19.8
321,16,411,22.893304698614152,-3.0933046986141504,8.81978089,41,370,0.9,21.14,19.8
322,17,216,19.661141271723775,-5.061141271723775,2.721151763,19,197,1.1,25.34,14.6
323,17,0,18.26505490489394,-5.065054904893941,0.0,0,0,1.2,27.74,13.2
324,18,0,18.011868397397578,-6.211868397397576,0.0,0,0,1.3,27.87,11.8
325,18,0,17.316303618009368,-6.216303618009369,0.0,0,0,1.6,29.18,11.1
326,19,0,17.033234957823204,-6.533234957823205,0.0,0,0,2.0,29.64,10.5
327,19,0,16.836605785616356,-6.536605785616357,0.0,0,0,2.3,30.03,10.3
328,20,0,16.53531205016736,-6.33531205016736,0.0,0,0,2.6,30.7,10.2
329,20,0,16.236047676017826,-6.336047676017826,0.0,0,0,2.6,31.32,9.9
330,21,0,14.986675953454643,-5.386675953454644,0.0,0,0,2.6,34.35,9.6
331,21,0,14.887157347721608,-5.387157347721609,0.0,0,0,2.7,34.58,9.5
332,22,0,13.905402748968879,-4.505402748968878,0.0,0,0,2.7,37.21,9.4
333,22,0,13.905402748968879,-4.505402748968878,0.0,0,0,2.9,37.21,9.4
334,23,0,13.088644626512142,-3.6886446265121418,0.0,0,0,3.1,39.56,9.4
335,23,0,12.98755654977268,-3.68755654977268,0.0,0,0,3.1,39.83,9.3
288,0,0,11.916570706862624,-11.516570706862623,0.0,0,0,3.2,40.45,0.4
289,0,0,11.916570706862624,-11.516570706862623,0.0,0,0,3.2,40.45,0.4
290,1,0,11.54087775140898,-11.14087775140898,0.0,0,0,3.3,41.68,0.4
291,1,0,11.640915813554239,-11.140915813554239,0.0,0,0,3.4,41.38,0.5
292,2,0,11.619896315670864,-11.019896315670865,0.0,0,0,3.4,41.48,0.6
293,2,0,11.619896315670864,-11.019896315670865,0.0,0,0,3.4,41.48,0.6
294,3,0,11.812198850131725,-11.212198850131726,0.0,0,0,3.4,40.85,0.6
295,3,0,11.827573994284196,-11.227573994284196,0.0,0,0,3.5,40.8,0.6
296,4,0,12.154116369458647,-11.654116369458647,0.0,0,0,3.6,39.72,0.5
297,4,0,12.25553115161938,-11.65553115161938,0.0,0,0,3.7,39.43,0.6
298,5,0,12.739911479011266,-12.039911479011266,0.0,0,0,3.7,37.96,0.7
299,5,0,12.939009926734153,-12.039009926734153,0.0,0,0,3.7,37.42,0.9
300,6,0,13.123775456496402,-12.123775456496402,0.0,0,0,3.7,36.9,1.0
301,6,0,13.307940817630687,-12.107940817630688,0.0,0,0,3.7,36.42,1.2
302,7,0,13.263874985835153,-11.963874985835153,0.0,0,0,3.6,36.58,1.3
303,7,15,14.062836601480328,-11.962836601480328,1.032302828,11,4,3.6,34.55,2.1
304,8,60,14.068515419481656,-11.268515419481655,3.941489565,40,20,3.7,34.75,2.8
305,8,107,14.969053272733571,-11.26905327273357,7.31983679,71,36,3.5,32.61,3.7
306,9,155,14.685487700533763,-9.985487700533762,10.79194845,101,54,3.4,33.66,4.7
307,9,82,15.271201674027228,-9.97120167402723,6.94433843,71,11,3.1,32.32,5.3
308,10,42,14.19853001383011,-8.29853001383011,3.94135528,42,0,2.7,35.34,5.9
309,10,92,14.69948900215365,-8.29948900215365,8.445714902999999,89,3,2.5,34.14,6.4
310,11,55,13.751370553136539,-6.951370553136539,5.1612475280000005,55,0,2.3,36.86,6.8
311,11,80,13.769042920262176,-6.969042920262176,7.507269132,80,0,1.8,36.81,6.8
312,12,70,12.296320935849598,-5.396320935849598,6.568853271,70,0,1.3,41.22,6.9
313,12,57,12.080325773396684,-5.3803257733966845,5.348935135,57,0,1.0,41.84,6.7
314,13,95,10.485421288676052,-3.9854212886760525,8.914911488,95,0,0.7,47.12,6.5
315,13,100,10.386882530874862,-3.986882530874862,9.196445117,97,3,0.6,47.44,6.4
316,14,144,10.083604914875131,-3.7836049148751316,12.48090352,127,17,0.6,48.5,6.3
317,14,138,9.682705984403835,-3.782705984403834,10.22875537,96,42,0.6,49.86,5.9
318,15,280,10.34975547578498,-4.74975547578498,13.04405215,95,185,0.6,47.34,5.6
319,15,204,9.235276123097938,-4.735276123097938,8.258204796000001,64,140,0.8,51.16,4.5
320,16,350,9.553594335428015,-6.153594335428014,5.255284766,26,324,1.0,49.63,3.4
321,16,189,9.553594335428015,-6.153594335428014,1.219976821,11,178,1.0,49.63,3.4
322,17,0,8.798100963886215,-6.698100963886215,0.0,0,0,1.6,52.2,2.1
323,17,0,8.282858386895052,-6.682858386895052,0.0,0,0,1.8,54.16,1.6
324,18,0,8.010933820875776,-6.810933820875776,0.0,0,0,2.1,55.19,1.2
325,18,0,7.511048673374351,-6.8110486733743505,0.0,0,0,2.2,57.21,0.7
326,19,0,7.214524336602644,-6.9145243366026445,0.0,0,0,2.3,58.42,0.3
327,19,0,7.014864328087142,-6.914864328087142,0.0,0,0,2.4,59.27,0.1
328,20,0,7.115819750813177,-7.215819750813177,0.0,0,0,2.5,58.76,-0.1
329,20,0,7.115819750813177,-7.215819750813177,0.0,0,0,2.5,58.76,-0.1
330,21,0,7.506404413430653,-7.706404413430653,0.0,0,0,2.5,56.99,-0.2
331,21,0,7.506404413430653,-7.706404413430653,0.0,0,0,2.5,56.99,-0.2
332,22,0,7.712816444629511,-8.012816444629511,0.0,0,0,2.5,56.06,-0.3
333,22,0,7.811505595854382,-8.011505595854382,0.0,0,0,2.6,55.66,-0.2
334,23,0,8.087136261502488,-8.187136261502488,0.0,0,0,2.7,54.51,-0.1
335,23,0,8.186233528446134,-8.186233528446134,0.0,0,0,2.8,54.12,0.0
288,0,0,13.980772446887425,5.819227553112575,0.0,0,0,1.3,40.05,19.8
289,0,0,13.681622156418769,5.8183778435812314,0.0,0,0,1.3,40.8,19.5
290,1,0,13.815221480364468,5.284778519635535,0.0,0,0,1.3,40.31,19.1
291,1,0,13.61726885400023,5.282731145999769,0.0,0,0,1.3,40.81,18.9
292,2,0,13.803181576479496,4.796818423520507,0.0,0,0,1.2,40.2,18.6
293,2,0,13.50396101548003,4.796038984519972,0.0,0,0,1.3,40.96,18.3
294,3,0,13.656980772363806,4.243019227636192,0.0,0,0,1.3,40.41,17.9
295,3,0,13.357106844695362,4.24289315530464,0.0,0,0,1.3,41.18,17.6
296,4,0,13.52566929362553,3.774330706374471,0.0,0,0,1.3,40.61,17.3
297,4,0,13.424772694851772,3.775227305148227,0.0,0,0,1.3,40.87,17.2
298,5,0,13.670736727542954,3.4292632724570478,0.0,0,0,1.4,40.14,17.1
299,5,71,15.465925292714083,3.434074707285917,0.5629703070000001,6,65,1.4,35.86,18.9
300,6,430,16.36424642087453,4.435753579125472,5.9110647689999976,27,403,1.5,34.2,20.8
301,6,650,18.955260552519018,4.44473944748098,14.44885647,40,610,2.0,29.21,23.4
302,7,784,23.517337990710846,2.4826620092891543,24.20583393,49,735,2.5,21.78,26.0
303,7,871,25.606003681187453,2.4939963188125507,34.15007809,56,815,2.3,19.27,28.1
304,8,932,30.209804624737064,-0.10980462473706395,43.9062779,60,872,2.1,14.24,30.1
305,8,976,31.20842111587479,-0.10842111587478827,53.09974378,65,911,2.1,13.45,31.1
306,9,1009,33.98467413992885,-1.7846741399288484,61.54242170000001,68,941,2.0,11.18,32.2
307,9,1032,34.68143401696783,-1.7814340169678302,68.95324977,69,963,2.0,10.75,32.9
308,10,1050,36.15873512597247,-2.5587351259724707,75.23820509,71,979,1.9,9.76,33.6
309,10,1022,36.6463003278177,-2.546300327817696,77.86454732,104,918,1.9,9.5,34.1
310,11,845,37.63569223692434,-3.035692236924337,69.70245859999999,271,574,1.8,8.91,34.6
311,11,955,37.940187249156175,-3.040187249156173,78.42673378,197,758,1.8,8.76,34.9
312,12,998,38.50121435508724,-3.3012143550872404,81.6160686,149,849,1.8,8.45,35.2
313,12,1001,38.62266344146835,-3.322663441468354,81.61597887,165,836,1.8,8.39,35.3
314,13,1025,38.90682903895078,-3.506829038950787,81.1468323,121,904,1.9,8.23,35.4
315,13,963,38.81588509377336,-3.5158850937733597,74.48630715,154,809,2.0,8.27,35.3
316,14,990,38.69308957283143,-3.493089572831428,72.14109971,114,876,2.2,8.33,35.2
317,14,960,38.319222096010364,-3.5192220960103646,65.57457797,113,847,2.3,8.5,34.8
318,15,990,37.838522435568876,-3.338522435568877,60.8841795,76,914,2.4,8.76,34.5
319,15,954,37.136215622993745,-3.3362156229937505,52.44147652,72,882,2.4,9.11,33.8
320,16,851,36.227675736550964,-3.0276757365509592,41.65325432,85,766,2.4,9.64,33.2
321,16,831,36.227675736550964,-3.0276757365509592,33.21002709,63,768,2.4,9.64,33.2
322,17,694,27.80352877250176,2.3964712274982403,22.70364865,61,633,1.4,16.95,30.2
323,17,556,25.609940222618373,2.3900597773816257,13.41611686,48,508,1.2,19.24,28.0
324,18,372,21.2856613512251,4.514338648774901,5.6292760820000005,30,342,1.1,25.43,25.8
325,18,49,20.68683436186084,4.513165638139162,0.469109434,5,44,1.1,26.35,25.2
326,19,0,20.695651414737608,3.904348585262395,0.0,0,0,1.1,26.17,24.6
327,19,0,20.297853547189057,3.902146452810944,0.0,0,0,1.0,26.8,24.2
328,20,0,20.022345211377015,3.8776547886229844,0.0,0,0,1.0,27.24,23.9
329,20,0,19.225033301253386,3.8749666987466136,0.0,0,0,1.0,28.58,23.1
330,21,0,18.13817237830376,4.161827621696239,0.0,0,0,1.0,30.61,22.3
331,21,0,17.25933082340948,4.140669176590517,0.0,0,0,1.0,32.29,21.4
332,22,0,16.827888029273055,3.7721119707269466,0.0,0,0,1.1,33.05,20.6
333,22,0,16.230856927292596,3.7691430727074047,0.0,0,0,1.2,34.29,20.0
334,23,0,16.62829269381791,2.871707306182087,0.0,0,0,1.3,33.2,19.5
335,23,0,16.226823775660172,2.87317622433983,0.0,0,0,1.4,34.04,19.1
288,0,0,7.959193563096006,-3.2591935630960065,0.0,0,0,2.6,56.35,4.7
289,0,0,7.7597230180365315,-3.2597230180365315,0.0,0,0,2.6,57.14,4.5
290,1,0,7.796752005972966,-3.4967520059729655,0.0,0,0,2.5,56.93,4.3
291,1,0,7.597452355922398,-3.4974523559223987,0.0,0,0,2.4,57.73,4.1
292,2,0,7.608552877961688,-3.708552877961688,0.0,0,0,2.4,57.63,3.9
293,2,0,7.710188072136354,-3.710188072136354,0.0,0,0,2.4,57.22,4.0
294,3,0,8.252303054488198,-4.152303054488199,0.0,0,0,2.5,54.97,4.1
295,3,0,8.551702821496551,-4.151702821496551,0.0,0,0,2.6,53.83,4.4
296,4,0,9.646942481729093,-4.846942481729093,0.0,0,0,2.7,49.68,4.8
297,4,0,9.745625191817862,-4.845625191817861,0.0,0,0,2.6,49.34,4.9
298,5,0,10.610914030475058,-5.610914030475058,0.0,0,0,2.5,46.24,5.0
299,5,3,11.911148538598576,-5.611148538598576,0.28152414,3,0,2.7,42.26,6.3
300,6,11,13.344357482108505,-5.744357482108505,1.03224043,11,0,3.0,38.27,7.6
301,6,20,15.040574469843616,-5.740574469843616,1.876765714,20,0,3.2,34.12,9.3
302,7,63,16.77435759614646,-5.7743575961464595,5.91170154,63,0,3.4,30.38,11.0
303,7,163,18.77086984417889,-5.770869844178891,14.07517044,142,21,3.2,26.64,13.0
304,8,425,22.106315800073823,-7.106315800073824,30.0263702,219,206,2.9,21.13,15.0
305,8,625,23.60497548444123,-7.10497548444123,42.97453379,234,391,2.8,19.2,16.5
306,9,680,26.10955635952162,-8.10955635952162,50.29251163,271,409,2.6,16.16,18.0
307,9,525,27.109207864399423,-8.109207864399425,43.8178074,323,202,2.4,15.18,19.0
308,10,437,27.226301918997233,-7.326301918997236,38.75069685,335,102,2.2,15.25,19.9
309,10,829,27.821928244743972,-7.321928244743974,69.43178339,353,476,2.0,14.7,20.5
310,11,827,27.591606771900256,-6.491606771900255,71.40167389,401,426,1.8,15.1,21.1
311,11,885,27.904736791655637,-6.5047367916556365,76.65568356,380,505,1.8,14.81,21.4
312,12,879,27.754011461919944,-6.054011461919947,76.93690726,418,461,1.7,15.05,21.7
313,12,727,27.754011461919944,-6.054011461919947,64.64576720000001,446,281,1.7,15.05,21.7
314,13,629,27.50590687740403,-5.705906877404028,56.38906151,445,184,1.8,15.36,21.8
315,13,597,27.40937767291989,-5.709377672919891,53.01140561,422,175,1.8,15.45,21.7
316,14,461,27.02272291680385,-5.322722916803852,41.28321853,371,90,1.8,15.91,21.7
317,14,390,26.626064668737534,-5.326064668737532,34.80941232,324,66,1.9,16.3,21.3
318,15,313,25.79711122317552,-4.797111223175521,27.86638693,266,47,1.9,17.28,21.0
319,15,292,24.999162987281093,-4.799162987281094,25.14564772,235,57,1.9,18.15,20.2
